spotid	spotname	geo-coordinates
1391604	Conference House Park	40.5017589436	-74.2523431778
1391611	Almer G. Russell Pavilion	40.5022647413	-74.2542636395
3612422	Conference House	40.5000644614	-74.2490418254
3612431	Billop House	40.5000644614	-74.2490418254
1391499	Biddle House	40.5054829933	-74.2541456223
403372	Seabra's Armory	40.5039289517	-74.2632088065
402567	The Barge	40.5040533579	-74.2636701465
604310	Perth Amboy Harborside Marina	40.5057931	-74.2627529333
592358	The Quilla Casa	40.50140725	-74.26920775
604304	Perth Amboy Ferry	40.5070395833	-74.2622304
1071573	Santamaria Eye Center	40.5069164667	-74.2679910833
952920	Buddha Lounge	40.50537222	-74.23945146
6937241	To-do stores	40.50888	-74.26777
1391847	Taqueria Oaxaca	40.5110095424	-74.2485237122
6520007	Finks	40.50876975	-74.268543717
7124898	Colors Of Fun	40.51132191	-74.248326977
1132547	Lighthouse Bay Overlook	40.4832579	-74.2705907333
7566755	The Yard	40.511936087	-74.249079655
489999	Santibana Travel & Insurance	40.5110068271	-74.2670660818
1553115	Talkin' Heads Salon	40.50906747	-74.27113455
1135048	Lighthouse Bay Clubhouse / Pool	40.4809825167	-74.2696979833
6788464	JSGWIZ Studio	40.483400791	-74.27351268
6706311	Amigo's Fried Chicken	40.510857878	-74.269244308
1132699	Harbor Village	40.4834589667	-74.2737147333
7422547	Universal Training Institute, Inc	40.510621276	-74.26985499
490972	Perth Amboy Post Office	40.51016965	-74.2709192167
1132414	Harbor Village	40.4833666	-74.27394325
58063	Perth Amboy Train Station	40.5093332719	-74.2738437653
1167415	Sadie Pope Dowdell Library	40.48159589	-74.27357417
1135163	South Amboy Middle High School	40.48155707	-74.27400887
5153427	The Office	40.51229377	-74.239441609
915039	Raritan Bay Waterfront Park	40.4774991667	-74.2690374167
7162236	St. Vincent de Paul	40.510683117	-74.274947283
3709322	U.s. Bargain Store	40.507257	-74.279798
58054	South Amboy Train Station	40.4836823334	-74.2796909809
1553114	Talkin' Heads Salon	40.482835769	-74.279131828
1553116	Talkin' Heads Salon	40.482731417	-74.279138944
1134629	Broadway Bagel	40.4829675667	-74.2793641
1387625	Landmark Tavern	40.483860273	-74.28024221
228251	Dunkin' Donuts	40.4845725333	-74.280916
1490033	Delio's Pizza	40.484076755	-74.280561515
3902195	Oriental House	40.484344	-74.280825
1933349	Poochie Doo	40.484823	-74.28121
7554334	Krauzers	40.4833799601	-74.2800718546
1134681	Delta Gas / Kumar Gas & Go	40.4817680167	-74.2786018833
1135134	Blue Moon Jazz Bar	40.4826601167	-74.2795077667
1134714	Kimber Dry Cleaning	40.4828885167	-74.279883
1134701	South Amboy Post Office	40.481056	-74.27814295
3668399	Madura Pharmacy	40.483293	-74.280532
1303092	Sciortinos Pizza	40.4816626399	-74.2793905735
3712382	The Bargain Man	40.518413	-74.261431
1134651	Krauszer's Food Stores	40.48588275	-74.2837220333
1138863	South Amboy Board of Education	40.48158371	-74.28072547
3468801	YMCA of South Amboy	40.477458	-74.275988
1102537	Aloysia's Lounge	40.5143721833	-74.2357721
922736	St. Mary's Roman Catholic Church	40.4829601469	-74.2833709717
4112356	South Amboy Deli	40.482276	-74.28308
1042935	Bethel Church	40.5160906	-74.2366997667
6602803	St. Mary's Food Pantry	40.48272114	-74.2837783
4340705	Bank of America ATM	40.479994473	-74.28194491
1176967	Magical Mystery Technologies	40.479994473	-74.28194491
849176	ZPA	40.5116956833	-74.281755
1138339	South Amboy Elementary School	40.48020422	-74.282467245
7451909	Dead Train In The Middle Of The Track	40.472602328	-74.270799042
1537638	The Blowout Studio	40.515850917	-74.2337915
6553416	Quest Diagnostics	40.516686376	-74.233472058
1134979	South Amboy Pizza	40.4782098833	-74.2826538833
3097221	Staten Island Railway Tottenville Station	40.5223095	-74.262358
1488416	Subway	40.516839767	-74.23326055
951377	Tottenville Hot Bagels & Deli	40.5166498235	-74.232891798
763643	Tottenville Auto Spa & Lube	40.5179649167	-74.23502915
1020580	Perth Amboy Fire Station	40.5159951992	-74.2803110871
2624177	Boss Audio	40.51382684	-74.28465098
